target,block,rung,learner,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,test_mse
gdpval_elo,Economic,ii_meanidx,rf,0.31673098074554273,0.43493721687215925,0.23670500985414553,0.3356855168285271,0.8996814858359666,0.8140492126185946,0.1891703826204997
gdpval_elo,Economic,ii_meanidx,gbm,0.20212308653453756,0.4640562696615912,0.15559672209963202,0.36621130500029375,0.9591462578897518,0.7883169089258362,0.21534822141223145
gdpval_elo,Economic,iii_f1,ridge,0.9331634031168048,0.9341823024028605,0.7270016247998465,0.7297292665129925,0.1292060630834636,0.14215633094782765,0.8726965741227094
gdpval_elo,Economic,iii_f1,elasticnet,0.9327805898729351,0.9315008378483804,0.7245426144345878,0.7257991261561202,0.12992037115629906,0.14707394936770846,0.8676938109122349
gdpval_elo,Economic,iii_f1,rf,0.7639829198324057,0.9926428711677954,0.5843388086236879,0.7579847948770647,0.41633009820435185,0.031430173861279,0.9853398696802443
gdpval_elo,Economic,iii_f1,gbm,0.5008547951724626,1.0630474815910407,0.39325702513616695,0.7716300764707347,0.7491444741527505,-0.11083666342205811,1.1300699481170537
gdpval_elo,Economic,iv_kfac,ridge,0.3425579992183888,0.3492763080240315,0.26630746367276853,0.26821713243637363,0.8826540171714943,0.880082342896013,0.12199393934689813
gdpval_elo,Economic,iv_kfac,elasticnet,0.3478372804256126,0.3516486760584894,0.27160483584367506,0.26983454584218275,0.8790092263461137,0.8784477918664222,0.12365679137368842
gdpval_elo,Economic,iv_kfac,rf,0.2136974285964419,0.6030966528321848,0.16635935015620706,0.44500798999874247,0.9543334090112686,0.6424648737848253,0.36372557265738487
gdpval_elo,Economic,iv_kfac,gbm,0.12685059401485338,0.5537837719821652,0.09042223183661117,0.4404854973785189,0.9839089267980788,0.6985430300733062,0.30667646611079474
gdpval_elo,Economic,v_kfac_cov,ridge,0.33324056608963437,0.367120172470317,0.25652132492050594,0.2714948371759164,0.88895072511226,0.8675166269407744,0.13477722103463527
gdpval_elo,Economic,v_kfac_cov,elasticnet,0.3478600964961318,0.35730127383032734,0.2683354996143225,0.27051278175902577,0.8789933532657018,0.874508587265209,0.12766420028077458
gdpval_elo,Economic,v_kfac_cov,rf,0.2534231292998103,0.566563104766584,0.1945975445039688,0.43672913330200136,0.9357767175358916,0.6844694182933337,0.3209937516827513
gdpval_elo,Economic,v_kfac_cov,gbm,0.1372571406526109,0.6049129523572303,0.09545559893692894,0.4741842270636935,0.9811604773398694,0.640308109236354,0.3659196799295407
terminalbenchV21,Economic,i_date,ridge,0.7385567277207674,0.7558668619425258,0.6132409210750556,0.624225340877066,0.4545339599383923,0.4342110464873342,0.5713347129828413
terminalbenchV21,Economic,i_date,elasticnet,0.7386080426763039,0.7547261097697326,0.6134013692899142,0.624410573930885,0.45445815929387934,0.43591753204382644,0.5696115007681545
